input_store_id,1,2,3,4,5,6,7,8,9,10
7,11717,2230,8003,7064,5117,18045,9286,3418,7925,14309
10,814,5709,16166,17777,6904,17771,6199,136,15831,8003
12,4341,3258,781,3353,4602,14722,15423,10033,2212,1358
13,256,16188,12021,18232,16139,16479,6717,2923,11818,6906
14,14929,9834,14014,7438,9433,3425,102,8063,9187,5977
19,10776,16412,2840,11162,15808,13431,10148,2238,10544,18426
22,369,6379,9693,7745,13103,6763,6512,8695,17820,13381
24,4920,10980,919,18011,5393,14305,7455,10330,306,7249
25,5529,12172,14282,14716,15774,16245,10262,184,6155,17771
28,791,6763,7745,369,22,6512,9693,17820,4731,13103
32,1006,1009,1611,5709,2892,14038,16166,8003,1039,13872
33,131,8785,414,14832,5269,11275,1892,2658,4258,1019
36,15604,6087,11245,13992,1751,1647,2909,2461,698,3851
40,5793,7416,7461,8875,2813,15580,6016,18322,7914,12091
44,2050,1019,7926,9729,1566,553,1255,6755,15026,11685
45,8003,15259,10,18045,3052,14944,11218,17771,15831,4266
46,6152,13594,10401,14975,7519,13045,6894,10040,17547,15795
47,1062,4602,3353,10033,14719,14722,14020,2212,15423,2861
56,2170,4208,781,10280,5155,14719,15330,113,7752,8791
61,15195,14311,9567,10513,597,686,11482,1608,16493,10795
63,11169,4220,8400,1737,8859,13684,7054,5204,11368,167
65,9262,2452,16522,337,15889,2270,5215,7951,2447,18527
69,17403,17536,2676,10821,6036,4868,13350,1194,4237,3915
70,4818,218,2676,18434,18137,18152,594,15965,9138,4006
71,10409,9507,4141,15233,470,2875,8822,4007,2326,754
72,2149,6896,7484,165,13600,18184,6804,9231,13684,1143
73,18319,418,4153,9556,8024,14670,212,7926,10455,1565
77,9176,9094,1608,1403,6680,14037,17519,6177,11692,12067
79,1072,4435,7626,2956,14524,9320,1276,7394,2734,18430
80,4421,2743,1670,9830,14299,9401,1658,7064,11824,7691
82,15036,5397,8982,13320,61,167,8780,7240,5653,5306
84,1513,3793,1754,8758,11685,13853,6327,2853,2050,435
85,3556,17625,6688,6727,3284,1544,14161,687,8209,17836
90,16166,15974,14311,16470,14042,2522,11717,2076,4588,5492
91,9067,7409,4568,3784,4093,13668,5420,14399,374,9286
92,13856,211,1547,4361,2072,2733,14518,9510,6623,1730
93,956,13837,9844,9825,16169,16140,15756,4162,13911,5306
94,6082,1444,9028,2600,185,9481,6367,146,9655,3957
95,15741,4033,1529,1938,2358,3614,1407,11646,10689,353
96,6731,8547,18108,10562,5274,942,2207,11555,7617,18180
99,2687,10264,4562,6299,9461,173,13175,8256,13876,2857
100,2773,6598,5377,4093,6269,16195,7014,8854,4257,5596
102,14929,17663,14,2461,1064,3178,14400,17261,6424,13152
105,917,6110,15029,6755,13460,93,8440,12194,14385,2522
106,1862,1943,505,7001,13131,10196,209,2006,5324,15948
107,4601,497,7673,2918,9388,11579,7501,123,6733,201
108,11220,5327,2006,17983,3851,1064,3929,9116,13131,5478
109,2707,6784,13288,4348,7234,6697,18053,1776,686,5655
110,3018,17925,15382,3780,9739,6011,14361,4002,13643,10451
111,11128,15411,2583,11472,3557,5114,13808,3695,13420,811
112,7386,8021,520,4225,15646,15965,1266,6033,5218,6904
113,452,329,11699,2168,14719,598,15088,4912,3353,4358
115,2144,14538,2303,10137,4097,11244,10688,8642,2761,10326
116,17613,7749,8685,3310,13413,9873,3565,5114,7038,977
117,13597,15076,4249,13853,435,11016,1513,1754,84,7522
123,11144,15637,13481,5734,1196,16316,6444,4458,1056,11007
124,2168,598,3353,11699,2212,12024,15423,10033,15557,4009
129,18049,2831,8707,17662,5420,5761,4093,11416,8513,17802
130,16748,1246,5539,5218,11403,6452,6598,5216,5075,11024
131,33,8785,1892,5269,14943,5983,11241,5977,14713,1608
133,2567,13013,5210,6110,10176,17613,14206,16360,8794,116
134,2950,10409,147,13610,6769,71,3593,718,4186,5446
135,12049,14514,1407,2358,2306,10196,7455,1039,2229,976
136,1518,3052,1039,5709,6853,14873,8940,1529,536,1407
137,17471,18013,15537,6727,6269,9067,1266,15044,91,18105
139,4112,14920,1418,73,3124,14385,6755,6367,5006,14719
143,3425,3178,5539,2461,10401,5306,14929,13883,9501,11024
144,16129,282,17261,9597,9938,7485,9618,6652,427,13084
146,9424,18057,2281,15756,13911,206,14311,4006,18065,8255
147,10366,10048,134,10678,14709,3013,16470,7501,8832,2281
