input_store_id,1,2,3,4,5,6,7,8,9,10
438,17929,13227,10718,9403,6081,13638,15124,8248,13774,1802
555,3545,9720,5957,11302,1862,15023,8843,3543,8013,4637
1892,2658,1019,329,5269,14719,414,16417,921,4602,4358
1893,14249,10095,4995,1537,14107,14144,6175,11225,13501,16342
1895,7042,9080,18300,12088,3991,1756,15738,18167,14943,10392
1900,8319,11609,353,12176,8292,5700,136,9845,2909,11218
1909,1256,1261,1257,7548,10370,4456,11224,5483,1893,3568
1911,13267,8311,2847,15965,14853,15195,6273,4006,11233,18434
1912,13124,7366,10272,15958,1621,9778,8837,6380,7399,9135
1953,17928,13201,2084,14557,10555,13634,17833,10478,11560,11072
1993,12021,11873,14361,16139,1237,9915,18036,356,13350,2136
2033,10739,16707,11260,10396,14797,5041,8450,15914,3200,13034
2036,9525,5169,14708,15169,3640,4916,9651,14857,16051,6644
2056,11572,6301,7368,14238,10653,13978,4350,4696,15890,10417
2069,8431,356,778,1622,5212,10593,16101,5501,10201,9331
2070,2885,2896,16326,11758,15064,3940,16139,14127,11740,3578
2092,7759,16662,6151,10554,16236,7962,7229,14764,2528,15914
2108,15944,14842,10287,8965,13407,6803,14178,3909,15202,8958
2136,670,15318,9407,5075,17835,13045,492,5596,18237,964
2279,9101,8989,14215,5242,18339,15160,8617,7163,15128,6800
2281,14311,13152,5692,1114,17261,2270,8050,18434,3559,12109
2322,1622,1520,17460,7006,13930,1212,6939,4266,4536,7278
2337,6000,16058,14385,17310,4799,14638,3835,2211,492,10134
2402,9612,14256,4461,4579,11965,4770,11896,17544,4050,6087
2495,14042,1863,2892,9618,6133,4006,13188,3163,14873,353
2515,18195,13561,14879,17410,10304,6177,14023,3687,16099,14141
2904,15161,10517,10986,11856,13122,5164,6240,4711,16580,10576
2957,2887,15034,176,3872,1954,6817,8930,15383,3926,5252
3016,6214,2661,7855,14307,7020,15674,13217,5671,6031,4803
3151,990,10548,4991,9364,11140,4015,13984,9210,17261,15893
3217,18276,18014,14008,2065,17310,6972,12119,2337,1880,4710
3228,9317,14958,12063,11197,10332,8134,1304,14415,4062,10997
3429,2314,8308,5064,2510,8158,2295,16200,10306,7996,7213
3490,4811,11952,16663,3673,17388,14336,16901,6985,10089,13978
3537,4451,14202,15513,10417,15918,10988,10993,8088,17637,14720
3555,6148,9397,5600,454,9641,3965,3006,7863,15442,11662
3574,16733,4120,4022,3737,8065,6783,17370,4145,1705,14885
3731,4445,14513,13766,14037,5473,3949,8438,4130,14056,6664
3848,2002,14376,8746,7735,187,8077,3929,6796,7654,6193
3861,9122,8546,13149,4653,8781,13646,14810,11362,7080,6867
3875,16295,3978,3983,15650,8967,3576,1879,13271,8833,7954
3923,16610,9210,17663,16798,1769,7462,7510,4689,13948,4067
3949,4445,17388,16697,13978,13816,1462,10816,14042,5330,8954
